,name,yieldRate,excessYieldRate,openingTimes,closingTimes,ATF,HTF,TF,slope,intercept,std
0,2017-02-01,-0.02122722,-0.02309311,1,0,659.80,7222.05,7881.85,0.8149691706391877,0.9965097052650833,0.011363835349552319
1,2017-05-01,-0.00887427,0.00107231,3,2,2330.52,18244.96,20575.48,0.7718677500432811,1.1093956595454983,0.0157609965744921
2,2017-11-01,-0.04651002,-0.03410134,1,0,756.30,7122.32,7878.62,0.8816665525081753,0.5721109498186365,0.056401153058615615
3,2017-12-01,0.05311142,-0.04618302,4,3,3858.68,22892.49,26751.17,0.9274265476146084,0.29274051811984236,0.021601421880368864
4,2018-07-01,0.00736476,0.1208253,4,3,3099.45,22988.21,26087.66,1.1198514785280942,-0.5435908289652218,0.026087023488926685
5,2018-12-01,-0.00400554,0.00017546999999999962,0,0,651.85,3353.69,4005.54,1.2330965598935046,-1.1101890573877817,0.01242578766904687
6,2019-04-01,-0.03917887,-0.030954759999999998,1,0,1206.54,6045.96,7252.50,0.7822001918693076,1.16737723381803,0.017232104755990702
7,2019-05-01,-0.00278107,-0.07610876999999999,3,2,2894.25,18622.37,21516.62,0.3882080101627494,3.25293334516104,0.031203451585692134
8,2019-06-01,0.03224625,0.09721759999999999,3,2,2430.95,17822.64,20253.59,1.1708303240757605,-0.9434141151698796,0.016536191042361387
9,2019-09-01,-0.02360393,-0.00032476999999999853,2,1,1572.24,12097.36,13669.60,1.1655788230312574,-0.9034353260752113,0.014722783349367679
10,2019-12-01,-0.01450865,-0.02889988,1,0,1234.69,5347.23,6581.92,1.0311700914583692,-0.18842123433772429,0.011420416096387572
11,2020-07-01,-0.00863089,-0.01578016,1,0,733.91,7264.21,7998.12,0.8568392638462639,0.8559389521226137,0.01581519250227914
12,2020-08-01,-0.03031625,0.0038954400000000035,3,2,2399.04,17942.02,20341.06,1.046536928937357,-0.26135354682710954,0.012264456732527327
13,2021-02-01,-0.01333611,-0.0543081,1,0,1251.11,5916.19,7167.30,0.789396733561178,1.1979595356241788,0.016668078652818795
14,2021-03-01,-0.00420146,0.0004287500000000003,0,0,610.79,3590.67,4201.46,0.9000611133681771,0.5469590809518863,0.021556979510189575
15,2021-04-01,-0.00439754,0.00042705,0,0,570.05,3827.49,4397.54,0.7718332052433112,1.267392534395924,0.019570638657355217
16,2021-06-01,0.03805538,0.05226737,5,4,4500.24,26127.38,30627.62,1.243586346213114,-1.5676569788963768,0.016377833504001665
17,2021-07-01,-0.00389474,0.0002797199999999998,0,0,674.44,3220.30,3894.74,1.1024050499992437,-0.7301289084209622,0.012574275390422327
18,2021-09-01,-0.06653005,-0.018983999999999994,2,1,1585.76,10747.31,12333.07,1.5434638756576753,-3.349227807160986,0.021214752174996167
19,2021-10-01,-0.01667113,0.04732782,2,1,1572.77,12074.63,13647.40,0.9391259345951042,0.15090667823642434,0.019222926952922752
20,2021-11-01,0.05311353,-0.10948027000000002,1,0,1360.19,5808.95,7169.14,0.768454900603357,1.095023255830286,0.016855157678627535
21,2022-05-01,-0.023092,-0.02594959,1,0,1223.05,4680.87,5903.92,1.2093617681463797,-1.257895615385408,0.018202519954962155
22,2022-07-01,-0.01595668,-0.014343580000000002,1,0,882.79,7219.01,8101.80,1.1050155326509474,-0.6795196562274506,0.009065999473955222
23,2022-08-01,-0.02439362,-0.0009906600000000008,1,0,839.24,7147.89,7987.13,0.9697132362136998,0.03128889721725159,0.011142017317610785
24,2022-11-01,-0.01452631,-0.02680258,1,0,1232.90,3607.45,4840.35,1.905372942035786,-4.979458273114005,0.02366285317083756
25,2023-01-01,-0.01343071,-0.0311055,1,0,803.67,7272.41,8076.08,0.989824185089954,0.05146808689351026,0.010991973021736767
26,2023-04-01,-0.00438656,0.0002135100000000001,0,0,572.62,3813.94,4386.56,0.8676763137564659,0.6897890908121986,0.009052963073678498
27,2023-06-01,-0.00354951,0.0002466399999999998,0,0,746.27,2803.24,3549.51,1.416760565567463,-2.370813282366285,0.02027120903864129
